State,StateFips,Year,UnempRate_AnnNSA
Alabama,Alabama,1995,5.9
Alabama,Alabama,1996,5.2
Alabama,Alabama,1997,5
Alabama,Alabama,1998,4.5
Alabama,Alabama,1999,4.7
Alabama,Alabama,2000,4.7
Alabama,Alabama,2001,5.1
Alabama,Alabama,2002,5.9
Alabama,Alabama,2003,5.9
Alabama,Alabama,2004,5.6
Alabama,Alabama,2005,4.5
Alabama,Alabama,2006,4
Alabama,Alabama,2007,4.1
Alabama,Alabama,2008,5.9
Alabama,Alabama,2009,9.699999999999999
Alabama,Alabama,2010,10.4
Alabama,Alabama,2011,9.6
Alabama,Alabama,2012,8.199999999999999
Alabama,Alabama,2013,7.4
Alabama,Alabama,2014,6.8
Alabama,Alabama,2015,6.1
Alabama,Alabama,2016,5.8
Alabama,Alabama,2017,4.5
Alabama,Alabama,2018,3.9
Alabama,Alabama,2019,3.2
Alabama,Alabama,2020,6.4
Alabama,Alabama,2021,3.3
Alabama,Alabama,2022,2.5
Alabama,Alabama,2023,2.5
Alaska,Alaska,1995,7.3
Alaska,Alaska,1996,7.5
Alaska,Alaska,1997,7
Alaska,Alaska,1998,6.3
Alaska,Alaska,1999,6.4
Alaska,Alaska,2000,6.3
Alaska,Alaska,2001,6.3
Alaska,Alaska,2002,7.2
Alaska,Alaska,2003,7.7
Alaska,Alaska,2004,7.4
Alaska,Alaska,2005,6.9
Alaska,Alaska,2006,6.6
Alaska,Alaska,2007,6.2
Alaska,Alaska,2008,6.5
Alaska,Alaska,2009,7.8
Alaska,Alaska,2010,8
Alaska,Alaska,2011,7.6
Alaska,Alaska,2012,7.1
Alaska,Alaska,2013,6.9
Alaska,Alaska,2014,6.7
Alaska,Alaska,2015,6.3
Alaska,Alaska,2016,6.6
Alaska,Alaska,2017,6.6
Alaska,Alaska,2018,6.1
Alaska,Alaska,2019,5.6
Alaska,Alaska,2020,8.300000000000001
Alaska,Alaska,2021,6.4
Alaska,Alaska,2022,4.3
Alaska,Alaska,2023,4.2
Arizona,Arizona,1995,5.3
Arizona,Arizona,1996,5.5
Arizona,Arizona,1997,4.6
Arizona,Arizona,1998,4.3
Arizona,Arizona,1999,4.5
Arizona,Arizona,2000,4
Arizona,Arizona,2001,4.7
Arizona,Arizona,2002,6.2
Arizona,Arizona,2003,5.8
Arizona,Arizona,2004,5
Arizona,Arizona,2005,4.6
Arizona,Arizona,2006,4.3
Arizona,Arizona,2007,3.7
Arizona,Arizona,2008,5.8
Arizona,Arizona,2009,9.699999999999999
Arizona,Arizona,2010,10.4
Arizona,Arizona,2011,9.5
Arizona,Arizona,2012,8.4
Arizona,Arizona,2013,7.8
Arizona,Arizona,2014,6.8
Arizona,Arizona,2015,6.1
Arizona,Arizona,2016,5.5
Arizona,Arizona,2017,5
Arizona,Arizona,2018,4.8
Arizona,Arizona,2019,4.8
Arizona,Arizona,2020,7.8
Arizona,Arizona,2021,5
Arizona,Arizona,2022,3.8
Arizona,Arizona,2023,3.7
Arkansas,Arkansas,1995,4.9
Arkansas,Arkansas,1996,5.2
Arkansas,Arkansas,1997,5.1
Arkansas,Arkansas,1998,5
Arkansas,Arkansas,1999,4.5
Arkansas,Arkansas,2000,4.2
Arkansas,Arkansas,2001,4.8
Arkansas,Arkansas,2002,5.3
Arkansas,Arkansas,2003,5.8
Arkansas,Arkansas,2004,5.6
Arkansas,Arkansas,2005,5.3
Arkansas,Arkansas,2006,5.2
Arkansas,Arkansas,2007,5.4
Arkansas,Arkansas,2008,5.4
Arkansas,Arkansas,2009,7.7
Arkansas,Arkansas,2010,7.8
Arkansas,Arkansas,2011,7.9
Arkansas,Arkansas,2012,7.2
Arkansas,Arkansas,2013,7
