"GEO_ID","NAME","B25064_001M","B25064_001E",
"Geography","Geographic Area Name","Margin of Error!!Median gross rent","Estimate!!Median gross rent",
"0400000US01","Alabama","4","644",
"0400000US02","Alaska","9","972",
"0400000US04","Arizona","4","856",
"0400000US05","Arkansas","4","617",
"0400000US06","California","2","1147",
"0400000US08","Colorado","4","852",
"0400000US09","Connecticut","5","982",
"0400000US10","Delaware","8","938",
"0400000US11","District of Columbia","13","1063",
"0400000US12","Florida","2","957",
"0400000US13","Georgia","3","808",
"0400000US15","Hawaii","18","1260",
"0400000US16","Idaho","5","689",
"0400000US17","Illinois","3","834",
"0400000US18","Indiana","3","683",
"0400000US19","Iowa","3","617",
"0400000US20","Kansas","4","671",
"0400000US21","Kentucky","3","601",
"0400000US22","Louisiana","5","712",
"0400000US23","Maine","7","707",
"0400000US24","Maryland","6","1091",
"0400000US25","Massachusetts","6","1006",
"0400000US26","Michigan","3","723",
"0400000US27","Minnesota","3","759",
"0400000US28","Mississippi","5","648",
"0400000US29","Missouri","3","667",
"0400000US30","Montana","5","629",
"0400000US31","Nebraska","5","648",
"0400000US32","Nevada","6","998",
"0400000US33","New Hampshire","7","933",
"0400000US34","New Jersey","4","1092",
"0400000US35","New Mexico","6","683",
"0400000US36","New York","3","977",
"0400000US37","North Carolina","3","718",
"0400000US38","North Dakota","6","555",
"0400000US39","Ohio","2","678",
"0400000US40","Oklahoma","3","633",
"0400000US41","Oregon","4","795",
"0400000US42","Pennsylvania","3","739",
"0400000US44","Rhode Island","9","882",
"0400000US45","South Carolina","4","701",
"0400000US46","South Dakota","7","574",
"0400000US47","Tennessee","3","678",
"0400000US48","Texas","2","786",
"0400000US49","Utah","5","781",
"0400000US50","Vermont","10","809",
"0400000US51","Virginia","4","970",
"0400000US53","Washington","4","882",
"0400000US54","West Virginia","5","549",
"0400000US55","Wisconsin","3","713",
"0400000US56","Wyoming","10","666",
"0400000US72","Puerto Rico","5","425",
