"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"0400000US01","Alabama","792","5",
"0400000US02","Alaska","1244","13",
"0400000US04","Arizona","1052","4",
"0400000US05","Arkansas","745","4",
"0400000US06","California","1503","4",
"0400000US08","Colorado","1271","6",
"0400000US09","Connecticut","1180","6",
"0400000US10","Delaware","1130","8",
"0400000US11","District of Columbia","1541","19",
"0400000US12","Florida","1175","4",
"0400000US13","Georgia","1006","4",
"0400000US15","Hawaii","1617","18",
"0400000US16","Idaho","853","7",
"0400000US17","Illinois","1010","4",
"0400000US18","Indiana","826","3",
"0400000US19","Iowa","789","4",
"0400000US20","Kansas","850","4",
"0400000US21","Kentucky","763","4",
"0400000US22","Louisiana","866","4",
"0400000US23","Maine","853","8",
"0400000US24","Maryland","1392","5",
"0400000US25","Massachusetts","1282","6",
"0400000US26","Michigan","871","3",
"0400000US27","Minnesota","977","4",
"0400000US28","Mississippi","780","5",
"0400000US29","Missouri","830","4",
"0400000US30","Montana","810","10",
"0400000US31","Nebraska","833","5",
"0400000US32","Nevada","1107","5",
"0400000US33","New Hampshire","1111","9",
"0400000US34","New Jersey","1334","5",
"0400000US35","New Mexico","844","6",
"0400000US36","New York","1280","3",
"0400000US37","North Carolina","907","4",
"0400000US38","North Dakota","826","8",
"0400000US39","Ohio","808","3",
"0400000US40","Oklahoma","810","4",
"0400000US41","Oregon","1110","5",
"0400000US42","Pennsylvania","938","3",
"0400000US44","Rhode Island","1004","10",
"0400000US45","South Carolina","894","5",
"0400000US46","South Dakota","747","8",
"0400000US47","Tennessee","869","3",
"0400000US48","Texas","1045","3",
"0400000US49","Utah","1037","8",
"0400000US50","Vermont","985","12",
"0400000US51","Virginia","1234","5",
"0400000US53","Washington","1258","6",
"0400000US54","West Virginia","725","5",
"0400000US55","Wisconsin","856","2",
"0400000US56","Wyoming","855","13",
"0400000US72","Puerto Rico","478","4",
